Gene Name	Gene ID	Protein ID(s)	Description	set1_Amount PSMs	set2_Amount PSMs	set1_Amount Peptides	set2_Amount Peptides	set1_Amount Unique peptides	set2_Amount Unique peptides	set1_q-value	set2_q-value	set1_MS1 precursor area	set2_MS1 precursor area	1_set1_tmt16plex_126	2_set1_tmt16plex_127N	3_set1_tmt16plex_127C	4_set1_tmt16plex_128N	5_set1_tmt16plex_128C	6_set1_tmt16plex_129N	IS_set1_tmt16plex_129C	HC2_set1_tmt16plex_130N	HC3_set1_tmt16plex_130C	HC4_set1_tmt16plex_131N	IS_set1_tmt16plex_131C	17_set1_tmt16plex_132N	18_set1_tmt16plex_132C	19_set1_tmt16plex_133N	20_set1_tmt16plex_133C	IS_set1_tmt16plex_134N	IS_set2_tmt16plex_126	7_set2_tmt16plex_127N	8_set2_tmt16plex_127C	9_set2_tmt16plex_128N	10_set2_tmt16plex_128C	11_set2_tmt16plex_129N	12_set2_tmt16plex_129C	13_set2_tmt16plex_130N	14_set2_tmt16plex_130C	15_set2_tmt16plex_131N	16_set2_tmt16plex_131C	IS_set2_tmt16plex_132N	HC5_set2_tmt16plex_132C	HC6_set2_tmt16plex_133N	HC7_set2_tmt16plex_133C	HC9_set2_tmt16plex_134N	set1_Amount fully quanted PSMs	set1_tmt16plex_126 - Amount quanted PSMs	set1_tmt16plex_127N - Amount quanted PSMs	set1_tmt16plex_127C - Amount quanted PSMs	set1_tmt16plex_128N - Amount quanted PSMs	set1_tmt16plex_128C - Amount quanted PSMs	set1_tmt16plex_129N - Amount quanted PSMs	set1_tmt16plex_129C - Amount quanted PSMs	set1_tmt16plex_130N - Amount quanted PSMs	set1_tmt16plex_130C - Amount quanted PSMs	set1_tmt16plex_131N - Amount quanted PSMs	set1_tmt16plex_131C - Amount quanted PSMs	set1_tmt16plex_132N - Amount quanted PSMs	set1_tmt16plex_132C - Amount quanted PSMs	set1_tmt16plex_133N - Amount quanted PSMs	set1_tmt16plex_133C - Amount quanted PSMs	set1_tmt16plex_134N - Amount quanted PSMs	set2_Amount fully quanted PSMs	set2_tmt16plex_126 - Amount quanted PSMs	set2_tmt16plex_127N - Amount quanted PSMs	set2_tmt16plex_127C - Amount quanted PSMs	set2_tmt16plex_128N - Amount quanted PSMs	set2_tmt16plex_128C - Amount quanted PSMs	set2_tmt16plex_129N - Amount quanted PSMs	set2_tmt16plex_129C - Amount quanted PSMs	set2_tmt16plex_130N - Amount quanted PSMs	set2_tmt16plex_130C - Amount quanted PSMs	set2_tmt16plex_131N - Amount quanted PSMs	set2_tmt16plex_131C - Amount quanted PSMs	set2_tmt16plex_132N - Amount quanted PSMs	set2_tmt16plex_132C - Amount quanted PSMs	set2_tmt16plex_133N - Amount quanted PSMs	set2_tmt16plex_133C - Amount quanted PSMs	set2_tmt16plex_134N - Amount quanted PSMs
PPP6R1	ENSG00000105063.19	ENSP00000414202.1;ENSP00000467521.1;ENSP00000466332.1	protein phosphatase 6 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:29195]	1	NA	1	NA	1	NA	0.0	NA	4624123140.353027	NA	0.220903460315281	-0.466573314965965	-0.470985825468004	-0.103221928506629	-0.112974246732528	0.0990562190036846	0.0401707160178297	0.45142526855498	0.257663814614679	0.722587038065676	-0.0300425259950714	-0.229179231702615	-0.0527919925435194	-0.230317184707957	-0.145665470347886	-0.0112509036205184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCYOX1	ENSG00000116005.12	ENSP00000404327.1;ENSP00000413178.1;ENSP00000387654.2;ENSP00000264441.5;ENSP00000408751.1	prenylcysteine oxidase 1 [Source:HGNC Symbol;Acc:HGNC:20588]	47	48	26	25	26	25	0.0	0.0	9553529741.164103	28849382693.902832	-0.390933920788244	-0.151837532631184	0.161687841776764	-0.0418396502811511	-0.237065621776703	-0.090204650264087	0.0182881921865565	0.833283360506542	0.474326546677069	0.0825448690382498	-0.0105092063997709	-0.149833954281455	0.0780845871295321	-0.126434745058397	0.00567887175868798	-0.00536646103357707	0.0133236341322629	0.0836000686113696	0.0114417797482975	-0.169839717029901	-0.34064954798542	0.0280524967729683	0.386392437859854	-0.15160622931136	-0.523894375311004	-0.00338094972471836	-0.344091839352849	-0.0133236341322647	0.078773700671257	0.942403709405189	-0.185104027658875	0.2650950502747	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48
LRIG3	ENSG00000139263.12	ENSP00000368436.4;ENSP00000326759.3;ENSP00000413143.2;ENSP00000449169.1;ENSP00000449109.1	leucine rich repeats and immunoglobulin like domains 3 [Source:HGNC Symbol;Acc:HGNC:30991]	2	NA	1	NA	1	NA	0.0	NA	762947318.9772949	NA	-1.43237660299828	-1.56417000249688	-1.62680443191063	-1.62051800614112	-1.71177413107653	-2.76195246794506	0.138630441846203	2.7892730294742	-1.185054939776	1.81529432892963	0.0299283038837981	-1.47673703839055	0.16792331242461	-1.51922555642551	-1.7404226356559	-0.169681459327752	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CES3	ENSG00000172828.13	ENSP00000377602.1;ENSP00000456203.1;ENSP00000304782.4;ENSP00000457547.1;ENSP00000445559.1	carboxylesterase 3 [Source:HGNC Symbol;Acc:HGNC:1865]	1	1	1	1	1	1	0.0	0.0	22335703.521484375	445612371.40625	-0.233848775210433	0.169526282013084	0.10935706873536	-0.332713705742846	-0.0238522733010909	-0.0799400276668853	0.306537675626059	1.93720063282374	0.0	0.250990523103818	-0.243308375980689	0.480554295600973	0.389933904193232	0.158862062936215	0.206272441421252	-0.0643520132431279	0.116922237088396	0.10773601501382	0.60521114265897	0.0847871296930123	-0.0907700994267948	-0.223258554669385	-0.041597498660721	0.223800013062018	-0.139954408476918	0.193784398182803	0.580875753713162	-0.116922237088394	0.552238765214913	-0.242810167430353	-0.0119380652681862	-0.140009806163761	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CTSS	ENSG00000163131.12	ENSP00000506001.1;ENSP00000505326.1;ENSP00000506248.1;ENSP00000505113.1;ENSP00000357981.3;ENSP00000475176.2;ENSP00000475557.2;ENSP00000505359.1;ENSP00000505020.1;ENSP00000475812.2;ENSP00000506603.1;ENSP00000504934.1;ENSP00000408414.2;ENSP00000505313.1;ENSP00000504885.1	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	6	9	5	7	5	7	0.0	0.0	653616746.710495	1433265078.5698242	-0.0758710860234757	0.152172878554619	0.0296543709172692	-0.0719389907639183	-0.244645580922422	-0.162104499132009	-0.00406006680373316	0.298377426473031	0.121806497437221	0.62368850643328	-0.0274896670453781	0.0325332657031598	-0.0303872979664126	-0.176886145886487	-0.0768369927141741	0.0130368926164204	-0.0133927941137486	-0.343066067283313	-0.28656005122515	-0.565434762596611	-0.248568828701664	0.209557086929834	-0.0311620176349479	-0.287876403786374	-0.209190059179562	-0.0348556947239089	-0.274345221605223	0.0133927941137433	0.207260691971939	0.492194466958569	0.0219661582874764	-0.00643259605973157	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
TGOLN2	ENSG00000152291.15	ENSP00000366603.3;ENSP00000381312.2;ENSP00000387035.1;ENSP00000386443.3;ENSP00000391190.2	trans-golgi network protein 2 [Source:HGNC Symbol;Acc:HGNC:15450]	3	7	2	6	2	6	0.0	0.0	903779579.1003418	1434031858.0406902	0.0694830838637426	-0.161243298383251	-0.426710968544064	-0.600554964290687	-0.336875887509083	-0.298350758586028	0.0529387210818868	0.766420572819396	0.0703975243074808	1.00204312564384	-0.0749113653827251	-0.139790137296938	0.049842665885536	-0.31770706260453	-0.107810628698209	0.0208499307030872	0.00326094713688718	0.132527906991491	-0.235279991469323	-0.0531008845763097	0.314126269803168	-0.291380226344589	-0.038289595024299	0.0872696309307379	-0.126436830338591	0.0360176102388508	-0.198322552950128	-0.00326094713689251	0.256564602978322	0.159812872960117	0.0835230033763814	0.74472802078979	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
ANGPTL4	ENSG00000167772.12	ENSP00000470307.1;ENSP00000473090.1;ENSP00000471345.1;ENSP00000301455.1;ENSP00000473025.1;ENSP00000377534.1;ENSP00000472551.1;ENSP00000472869.1	angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039]	1	2	1	2	1	2	0.0	0.0	39680172.3125	83503168.15625	0.104258640828581	-0.0489630539907608	-0.347364846911027	-0.117354883615551	-0.168184416368812	0.0372973347620063	-0.0388953041571014	0.610714120326328	-0.0522820573101761	0.467773453824654	0.0167622294623833	0.00910160806096272	-0.0321066117304936	-0.286438965690412	0.0665670977671677	0.0210103610969599	-0.0159888031397823	0.155351693159425	0.217104986467267	0.146785734508937	0.0539905146694064	-0.242080830017343	0.00751445001459672	0.0231740683872435	0.136996867469541	-0.0403857908930139	0.382135871406631	0.0159888031397788	0.191510083667078	0.187288077149969	0.379749931599315	0.240054928315453	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
COLEC10	ENSG00000184374.3	ENSP00000332723.2	collectin subfamily member 10 [Source:HGNC Symbol;Acc:HGNC:2220]	9	8	5	5	5	5	0.0	0.0	3465930934.4447427	3939565859.577555	-0.0546580044763285	0.146897279360022	0.007358936717619	0.127988342888234	0.0214645282260344	0.0231456755486557	-0.0396781154716557	0.202896492461376	0.234883493883729	-0.186522516674222	-0.0189790037271642	0.243322252901574	0.156902836096326	0.490681181950897	-0.0835461593153415	0.0640955195444031	-0.023157864790333	-0.0157914194657529	-0.343625437457197	0.10222017910557	0.00189784015585914	-0.277266133345984	-0.0176223628052323	-0.130395241887832	-0.202471013077611	-0.0590847122853173	-0.113314125812472	0.0231578647903312	0.049280366438003	0.039960110625282	0.268335086464893	0.0443397630120348	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
LRRC4B	ENSG00000131409.13	ENSP00000471502.1;ENSP00000373853.3;ENSP00000498662.1;ENSP00000472528.1	leucine rich repeat containing 4B [Source:HGNC Symbol;Acc:HGNC:25042]	NA	1	NA	1	NA	1	NA	0.0	NA	336983224.2421875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0120528665602535	0.0646461349067877	0.534773614614149	-0.318567391084439	0.0297833633290914	-0.406708001304267	-0.107118365609441	-0.143244088387146	-0.438189075751232	-0.0134869604310133	-0.384152964551447	-0.0120528665602553	0.147960305017914	0.427246509262151	0.410137636941499	0.639823923396182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TIE1	ENSG00000066056.14	ENSP00000361554.3;ENSP00000440063.1	tyrosine kinase with immunoglobulin like and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:11809]	6	10	5	9	5	9	0.0	0.0	1200964662.0403645	1524897392.410319	-0.181725782406689	0.0969616638331017	0.0957084699015711	0.115948971861085	0.164636904053485	0.0287532673614415	0.0347442631607882	-0.0171811224081884	0.172890721847505	0.234353335285657	-0.0316240556953966	0.335014622766534	-0.0273294982712722	0.215223514901936	0.109859510167498	-0.0270165725133884	0.0187177363306557	0.128025634641395	0.000255451518321514	0.0248457004011566	-0.147806558390275	-0.11665987985195	-0.0718055590642317	-0.0546208622271109	-0.25395141665767	-0.13856315389536	0.0749506746113102	-0.0187177363306574	0.0279158985058903	-0.0607150885192373	0.113995853354318	0.125106749939554	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
THUMPD2	ENSG00000138050.15	ENSP00000423933.1;ENSP00000368001.4;ENSP00000434844.1;ENSP00000426202.2	THUMP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:14890]	NA	3	NA	1	NA	1	NA	0.0	NA	139487966.1383667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0415686137819709	0.0632900642975809	0.932797653805508	0.0137447075391961	-0.193058199354638	-0.179157142504256	-0.1448312428587	0.127121410689174	-0.125420589625257	0.561247450024663	0.443327231665574	0.0415686137819673	0.817431153158811	-0.383816235944179	0.247703303481899	-0.756075147568103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
C8A	ENSG00000157131.11	ENSP00000354458.3	complement C8 alpha chain [Source:HGNC Symbol;Acc:HGNC:1352]	366	426	43	49	43	49	0.0	0.0	171255561618.37906	472288677163.6646	0.112307753047803	0.168518921391016	0.126328958397876	0.187108641045841	0.242078741687178	-0.00808354032188152	0.00321764207431663	0.219188495119372	-0.141429715204307	-0.203915601977151	-0.0123567936732201	0.184028630581896	0.199840682697084	0.202845022095257	0.15042908706871	0.00711481408264181	-0.00693940228356382	0.0803678804453902	-0.0546179992472249	0.0985952430731487	0.0653707299759816	-0.00985002830113402	0.067158232081022	0.138756719629523	0.202263854898804	0.187901620565887	-0.151724668461005	0.00693940228356027	-0.205503073999314	0.234366188005906	0.0684059515611128	-0.0807356202813931	365	365	365	365	365	365	365	365	365	365	365	365	365	365	365	365	365	422	422	422	422	422	422	422	422	422	422	422	422	422	422	422	422	422
ANG	ENSG00000214274.10	ENSP00000336762.6;ENSP00000381077.4	angiogenin [Source:HGNC Symbol;Acc:HGNC:483]	16	24	8	7	8	7	0.0	0.0	13203186500.660156	13619415574.716105	0.698907289816997	0.257077897624383	-0.182336992844048	-0.062498342027455	-0.131536564088122	0.0611074410372376	0.0143379997345452	0.189331097328855	-0.0459156783914434	-0.0202128577379312	0.0318970428632586	-0.040783337350053	0.0906389929315496	-0.0157152592845851	0.077374782643103	-0.0236921193713062	0.0297881291757749	-0.00465505156306723	-0.0415900345660081	0.0777390191706662	-0.0537293921387771	-0.0582671876593555	-0.1361072354066	-0.165425569767391	-0.0812859882658641	-0.0769770441444724	0.0366747749890246	-0.0297881291757749	0.213133050287448	-0.0924789630751395	-0.0293129545351523	-0.171271212528197	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24
