"","Gene_name","Method","Sensitivity","lower.Sensitivity","upper.Sensitivity","Specificity","lower.Specificity","upper.Specificity","Mean.DOR","Median.DOR","lower.Mean.DOR","upper.Mean.DOR","Mean.Pos.LR","Median.Pos.LR","lower.Pos.LR","upper.Pos.LR","Mean.Neg.LR","Median.Neg.LR","lower.Neg.LR","upper.Neg.LR","AUC","Method.1","DOR","lower.DOR","upper.DOR","lnDOR","lower.lnDOR","upper.lnDOR","tau.2","lower.tau.2","upper.tau.2","tau","lower.tau","upper.tau","I.2","Q","p.value","df","k.study"
"HP","HP","Bivariate model, Reitsma 2005",0.755,0.608,0.859,0.797,0.643,0.895,13.3,12,4.99,29.1,3.89,3.67,2.13,6.91,0.318,0.311,0.183,0.491,0.842,"Univariate model, Glas 2003",12.477,5.674,27.437,2.524,1.736,3.312,0.99,0,13.335,0.995,0,3.652,41.667,17.143,0.071,10,11
"F9","F9","Bivariate model, Reitsma 2005",0.596,0.49,0.694,0.701,0.58,0.8,3.53,3.47,2.41,4.99,2.02,1.99,1.55,2.66,0.579,0.579,0.478,0.682,0.686,"Univariate model, Glas 2003",3.683,2.336,5.804,1.304,0.849,1.759,0.248,0,4.213,0.498,0,2.052,18.218,12.228,0.27,10,11
"F10","F10","Bivariate model, Reitsma 2005",0.601,0.499,0.695,0.751,0.666,0.819,4.66,4.54,2.9,7.1,2.43,2.4,1.83,3.23,0.534,0.533,0.418,0.657,0.738,"Univariate model, Glas 2003",4.755,2.932,7.712,1.559,1.076,2.043,0.319,0,1.778,0.565,0,1.333,8.822,10.968,0.36,10,11
"PLG","PLG","Bivariate model, Reitsma 2005",0.596,0.5,0.685,0.694,0.547,0.809,3.41,3.34,2.21,5.05,1.99,1.94,1.44,2.78,0.588,0.587,0.501,0.68,0.67,"Univariate model, Glas 2003",3.701,2.317,5.913,1.309,0.84,1.777,0.243,0,3.674,0.493,0,1.917,15.795,11.876,0.293,10,11
"F12","F12","Bivariate model, Reitsma 2005",0.754,0.617,0.854,0.583,0.412,0.735,4.43,4.29,2.58,7.11,1.84,1.8,1.38,2.54,0.43,0.426,0.295,0.588,0.726,"Univariate model, Glas 2003",5.017,2.865,8.786,1.613,1.053,2.173,0.404,0,2.693,0.636,0,1.641,7.614,10.824,0.371,10,11
"CFB","CFB","Bivariate model, Reitsma 2005",0.609,0.532,0.681,0.825,0.695,0.907,7.83,7.35,3.66,14.8,3.66,3.48,2.04,6.37,0.48,0.478,0.391,0.581,0.717,"Univariate model, Glas 2003",7.757,3.994,15.065,2.049,1.385,2.712,0.657,0,3.155,0.81,0,1.776,7.172,9.695,0.376,9,10
"CA1","CA1","Bivariate model, Reitsma 2005",0.714,0.629,0.786,0.485,0.434,0.536,2.4,2.35,1.55,3.55,1.39,1.38,1.19,1.58,0.595,0.591,0.44,0.775,0.505,"Univariate model, Glas 2003",2.842,1.735,4.654,1.044,0.551,1.538,0.187,0,3.766,0.432,0,1.941,13.012,9.197,0.326,8,9
"SERPINC1","SERPINC1","Bivariate model, Reitsma 2005",0.693,0.497,0.837,0.749,0.542,0.882,7.22,6.72,3.19,14.1,2.88,2.72,1.66,5.02,0.422,0.417,0.251,0.621,0.78,"Univariate model, Glas 2003",8.171,3.656,18.264,2.101,1.296,2.905,1.103,0,3.326,1.05,0,1.824,0,8.89,0.543,10,11
"SERPINA1","SERPINA1","Bivariate model, Reitsma 2005",0.635,0.461,0.779,0.763,0.615,0.867,5.85,5.6,3.14,10,2.73,2.65,1.81,4.12,0.485,0.483,0.323,0.66,0.761,"Univariate model, Glas 2003",6.642,3.496,12.62,1.893,1.252,2.535,0.633,0,4.775,0.796,0,2.185,7.153,10.77,0.376,10,11
"SERPINA3","SERPINA3","Bivariate model, Reitsma 2005",0.81,0.678,0.896,0.776,0.619,0.881,16.5,14.8,5.93,36.8,3.79,3.59,2.13,6.64,0.256,0.248,0.137,0.418,0.861,"Univariate model, Glas 2003",15.547,7.015,34.458,2.744,1.948,3.54,1.117,0,10.843,1.057,0,3.293,36.483,15.744,0.107,10,11
"AGT","AGT","Bivariate model, Reitsma 2005",0.632,0.548,0.709,0.687,0.575,0.78,3.91,3.77,2.2,6.46,2.05,2.01,1.48,2.86,0.541,0.538,0.42,0.684,0.698,"Univariate model, Glas 2003",4.454,2.501,7.934,1.494,0.917,2.071,0.562,0,2.121,0.75,0,1.457,0.462,10.046,0.436,10,11
"A2M","A2M","Bivariate model, Reitsma 2005",0.745,0.692,0.791,0.667,0.514,0.792,6.16,5.85,3.11,11,2.31,2.24,1.54,3.54,0.39,0.385,0.303,0.506,0.762,"Univariate model, Glas 2003",7.236,3.656,14.323,1.979,1.296,2.662,0.809,0,4.518,0.9,0,2.126,12.969,11.49,0.321,10,11
"C3","C3","Bivariate model, Reitsma 2005",0.635,0.491,0.759,0.711,0.514,0.851,4.46,4.29,2.48,7.42,2.28,2.19,1.47,3.62,0.521,0.52,0.398,0.652,0.714,"Univariate model, Glas 2003",4.756,2.661,8.498,1.559,0.979,2.14,0.452,0,3.402,0.672,0,1.844,8.211,10.895,0.366,10,11
"C5","C5","Bivariate model, Reitsma 2005",0.603,0.473,0.721,0.734,0.585,0.843,4.42,4.19,2.23,7.91,2.33,2.25,1.51,3.6,0.548,0.545,0.401,0.71,0.712,"Univariate model, Glas 2003",4.968,2.469,9.993,1.603,0.904,2.302,0.854,0,4.942,0.924,0,2.223,11.741,11.33,0.332,10,11
"KNG1","KNG1","Bivariate model, Reitsma 2005",0.573,0.471,0.669,0.719,0.652,0.778,3.49,3.44,2.47,4.78,2.05,2.03,1.7,2.45,0.595,0.595,0.482,0.71,0.711,"Univariate model, Glas 2003",3.828,2.728,5.371,1.342,1.004,1.681,0.023,0,3.436,0.152,0,1.854,3.304,10.342,0.411,10,11
"IGF2","IGF2","Bivariate model, Reitsma 2005",0.702,0.635,0.761,0.718,0.597,0.814,6.39,6,3,12,2.56,2.49,1.67,3.89,0.422,0.416,0.312,0.565,0.743,"Univariate model, Glas 2003",5.689,2.672,12.113,1.739,0.983,2.494,0.425,0,7.349,0.652,0,2.711,11.357,5.641,0.343,5,7
"JCHAIN","JCHAIN","Bivariate model, Reitsma 2005",0.684,0.587,0.768,0.72,0.556,0.84,5.8,5.57,3.21,9.66,2.53,2.44,1.64,3.94,0.445,0.443,0.351,0.55,0.746,"Univariate model, Glas 2003",5.461,3.148,9.473,1.698,1.147,2.248,0.193,0,3.788,0.439,0,1.946,1.353,7.096,0.419,7,8
"IGKV3-20","IGKV3-20","Bivariate model, Reitsma 2005",0.627,0.464,0.765,0.648,0.536,0.746,3.15,3.09,2.1,4.56,1.78,1.77,1.49,2.12,0.578,0.577,0.416,0.746,0.678,"Univariate model, Glas 2003",3.507,2.264,5.433,1.255,0.817,1.692,0.142,0,3.041,0.377,0,1.744,9.287,9.921,0.357,9,10
"IGLV1-47","IGLV1-47","Bivariate model, Reitsma 2005",0.574,0.387,0.742,0.753,0.559,0.88,4.25,4.11,2.48,6.82,2.38,2.3,1.56,3.68,0.571,0.571,0.414,0.729,0.713,"Univariate model, Glas 2003",4.399,2.575,7.518,1.481,0.946,2.017,0.05,0,5.38,0.225,0,2.32,0,4.976,0.419,5,6
"IGLV3-19","IGLV3-19","Bivariate model, Reitsma 2005",0.586,0.433,0.724,0.708,0.622,0.781,3.52,3.43,2.2,5.36,2,1.99,1.61,2.45,0.586,0.586,0.42,0.755,0.711,"Univariate model, Glas 2003",3.583,2.183,5.881,1.276,0.781,1.772,0.189,0,3.929,0.434,0,1.982,9.587,8.848,0.355,8,11
"IGHV3-13","IGHV3-13","Bivariate model, Reitsma 2005",0.622,0.515,0.718,0.672,0.488,0.815,3.49,3.38,2.03,5.62,1.96,1.89,1.34,2.96,0.571,0.568,0.473,0.683,0.675,"Univariate model, Glas 2003",3.467,2.202,5.459,1.243,0.789,1.697,0.081,0,1.894,0.285,0,1.376,0,8.97,0.44,9,10
"IGHV4-39","IGHV4-39","Bivariate model, Reitsma 2005",0.71,0.595,0.803,0.487,0.354,0.622,2.42,2.32,1.31,4.11,1.4,1.38,1.1,1.81,0.607,0.599,0.418,0.846,0.657,"Univariate model, Glas 2003",2.791,1.518,5.132,1.026,0.417,1.636,0,0,20.127,0,0,4.486,0,0.776,0.679,2,3
"IGKC","IGKC","Bivariate model, Reitsma 2005",0.77,0.617,0.874,0.567,0.352,0.76,4.54,4.39,2.6,7.39,1.84,1.77,1.31,2.75,0.417,0.413,0.288,0.568,0.738,"Univariate model, Glas 2003",4.814,2.779,8.337,1.571,1.022,2.121,0.265,0,3.559,0.515,0,1.887,7.204,8.621,0.375,8,9
"IGHG3","IGHG3","Bivariate model, Reitsma 2005",0.611,0.459,0.743,0.73,0.557,0.853,4.68,4.24,1.77,10.2,2.36,2.24,1.34,4.09,0.546,0.539,0.355,0.778,0.716,"Univariate model, Glas 2003",4.416,2.099,9.29,1.485,0.742,2.229,0.928,0,6.014,0.963,0,2.452,23.972,11.838,0.223,9,10
"IGHG4","IGHG4","Bivariate model, Reitsma 2005",0.541,0.424,0.653,0.722,0.631,0.798,3.12,3.06,2.05,4.55,1.96,1.94,1.53,2.49,0.638,0.638,0.509,0.768,0.69,"Univariate model, Glas 2003",3.479,2.233,5.419,1.247,0.803,1.69,0.178,0,1.896,0.422,0,1.377,11.31,10.148,0.339,9,10
"IGHM","IGHM","Bivariate model, Reitsma 2005",0.71,0.603,0.798,0.616,0.448,0.76,4.04,3.92,2.43,6.33,1.89,1.84,1.38,2.68,0.478,0.476,0.37,0.6,0.72,"Univariate model, Glas 2003",4.248,2.626,6.874,1.447,0.965,1.928,0.286,0,1.717,0.534,0,1.31,0,9.955,0.444,10,11
"IGHA1","IGHA1","Bivariate model, Reitsma 2005",0.723,0.604,0.818,0.558,0.343,0.753,3.48,3.3,1.74,6.25,1.7,1.63,1.18,2.63,0.511,0.503,0.372,0.695,0.709,"Univariate model, Glas 2003",4.072,2.195,7.555,1.404,0.786,2.022,0.545,0,2.472,0.739,0,1.572,1.488,9.136,0.425,9,10
"COL2A1","COL2A1","Bivariate model, Reitsma 2005",0.796,0.606,0.909,0.625,0.32,0.855,7.49,6.53,2.33,18.3,2.34,2.1,1.25,4.82,0.351,0.339,0.179,0.594,0.793,"Univariate model, Glas 2003",6.062,2.335,15.737,1.802,0.848,2.756,0,0,98.103,0,0,9.905,0,1.825,0.402,2,3
"APOA1","APOA1","Bivariate model, Reitsma 2005",0.745,0.66,0.815,0.759,0.606,0.866,9.71,9.21,4.86,17.5,3.22,3.08,1.96,5.3,0.342,0.339,0.256,0.441,0.805,"Univariate model, Glas 2003",9.881,5.219,18.708,2.291,1.652,2.929,0.645,0,7.451,0.803,0,2.73,29.527,14.19,0.165,10,11
"APOE","APOE","Bivariate model, Reitsma 2005",0.627,0.488,0.748,0.644,0.479,0.781,3.1,3.05,2.16,4.31,1.79,1.76,1.38,2.38,0.583,0.583,0.473,0.696,0.674,"Univariate model, Glas 2003",3.4,2.375,4.867,1.224,0.865,1.582,0.035,0,1.663,0.188,0,1.29,2.25,10.23,0.421,10,11
"APOA2","APOA2","Bivariate model, Reitsma 2005",0.725,0.675,0.771,0.729,0.607,0.825,7.5,7.12,3.79,13.4,2.76,2.68,1.82,4.18,0.382,0.378,0.299,0.489,0.758,"Univariate model, Glas 2003",8.297,4.235,16.253,2.116,1.443,2.788,0.837,0,8.974,0.915,0,2.996,34.998,15.384,0.119,10,11
"APOC1","APOC1","Bivariate model, Reitsma 2005",0.712,0.612,0.795,0.733,0.614,0.826,7,6.79,4.19,11,2.72,2.66,1.93,3.85,0.397,0.395,0.298,0.509,0.78,"Univariate model, Glas 2003",7.445,4.382,12.649,2.008,1.477,2.538,0.334,0,4.855,0.578,0,2.203,9.113,9.902,0.358,9,10
"APOC2","APOC2","Bivariate model, Reitsma 2005",0.551,0.472,0.627,0.817,0.683,0.903,5.98,5.49,2.43,12.4,3.2,3.01,1.69,5.78,0.557,0.552,0.442,0.702,0.664,"Univariate model, Glas 2003",5.611,2.49,12.64,1.725,0.912,2.537,0.814,0,4.501,0.902,0,2.121,0,5.679,0.46,6,7
"APOC3","APOC3","Bivariate model, Reitsma 2005",0.574,0.518,0.628,0.77,0.67,0.846,4.65,4.5,2.72,7.44,2.55,2.49,1.75,3.69,0.558,0.555,0.477,0.652,0.656,"Univariate model, Glas 2003",4.466,2.709,7.364,1.497,0.996,1.997,0.323,0,3.498,0.568,0,1.87,18.575,12.281,0.267,10,11
"FGA","FGA","Bivariate model, Reitsma 2005",0.725,0.514,0.867,0.807,0.698,0.883,13.2,11,3.3,36.4,3.87,3.7,2.02,6.66,0.358,0.343,0.16,0.634,0.84,"Univariate model, Glas 2003",9.349,3.929,22.248,2.235,1.368,3.102,1.507,0,15.908,1.228,0,3.988,47.833,19.169,0.038,10,11
"FGG","FGG","Bivariate model, Reitsma 2005",0.796,0.631,0.898,0.703,0.459,0.869,10.9,9.21,2.94,28.9,2.9,2.64,1.47,5.83,0.311,0.297,0.15,0.55,0.82,"Univariate model, Glas 2003",10.599,3.657,30.72,2.361,1.297,3.425,1.907,0,13.024,1.381,0,3.609,24.352,10.575,0.227,8,9
"APCS","APCS","Bivariate model, Reitsma 2005",0.755,0.657,0.833,0.688,0.576,0.782,7.14,6.81,3.71,12.5,2.46,2.41,1.77,3.43,0.362,0.358,0.245,0.505,0.782,"Univariate model, Glas 2003",7.705,3.996,14.858,2.042,1.385,2.699,0.599,0,6.626,0.774,0,2.574,23.291,11.733,0.229,9,10
"C1QA","C1QA","Bivariate model, Reitsma 2005",0.546,0.413,0.672,0.725,0.57,0.839,3.26,3.17,1.98,5.06,2.02,1.97,1.43,2.91,0.632,0.632,0.506,0.758,0.667,"Univariate model, Glas 2003",3.343,2.013,5.552,1.207,0.7,1.714,0.298,0,3.359,0.546,0,1.833,5.932,9.568,0.387,9,10
"C1QB","C1QB","Bivariate model, Reitsma 2005",0.654,0.487,0.79,0.754,0.626,0.849,6.26,5.78,2.63,12.7,2.71,2.63,1.7,4.24,0.468,0.463,0.287,0.681,0.769,"Univariate model, Glas 2003",5.801,2.955,11.386,1.758,1.084,2.432,0.74,0,6.561,0.86,0,2.562,35.185,13.886,0.126,9,10
"C1QC","C1QC","Bivariate model, Reitsma 2005",0.654,0.521,0.766,0.722,0.563,0.839,5.08,4.89,2.84,8.41,2.41,2.33,1.62,3.63,0.487,0.485,0.359,0.625,0.736,"Univariate model, Glas 2003",5.104,2.952,8.823,1.63,1.083,2.177,0.455,0,1.312,0.675,0,1.146,0,8.547,0.576,10,11
"C9","C9","Bivariate model, Reitsma 2005",0.746,0.608,0.848,0.846,0.724,0.919,19.6,16.1,4.75,54.8,5.18,4.81,2.36,10.1,0.312,0.302,0.17,0.514,0.865,"Univariate model, Glas 2003",12.631,5.234,30.477,2.536,1.655,3.417,1.491,0,21.22,1.221,0,4.606,49.854,19.942,0.03,10,11
"APOH","APOH","Bivariate model, Reitsma 2005",0.677,0.586,0.756,0.817,0.717,0.887,9.56,9.36,6.22,14.1,3.78,3.69,2.56,5.51,0.398,0.397,0.32,0.483,0.8,"Univariate model, Glas 2003",9.814,6.373,15.113,2.284,1.852,2.716,0.147,0,2.078,0.383,0,1.441,1.859,10.189,0.424,10,11
"LRG1","LRG1","Bivariate model, Reitsma 2005",0.777,0.678,0.852,0.722,0.511,0.866,10.8,9.03,2.83,28.9,3.03,2.78,1.51,5.98,0.326,0.312,0.188,0.545,0.814,"Univariate model, Glas 2003",8.011,3.357,19.12,2.081,1.211,2.951,1.506,0,14.838,1.227,0,3.852,46.998,18.867,0.042,10,11
"FN1","FN1","Bivariate model, Reitsma 2005",0.702,0.489,0.854,0.685,0.579,0.775,5.65,5.14,2.18,12.1,2.23,2.2,1.54,3.07,0.447,0.436,0.224,0.727,0.731,"Univariate model, Glas 2003",5.815,2.81,12.036,1.76,1.033,2.488,0.899,0,14.468,0.948,0,3.804,49.047,19.626,0.033,10,11
"RBP4","RBP4","Bivariate model, Reitsma 2005",0.566,0.465,0.661,0.795,0.68,0.876,5.14,5.04,3.42,7.46,2.81,2.75,1.96,4.01,0.549,0.549,0.465,0.635,0.714,"Univariate model, Glas 2003",5.88,3.658,9.451,1.772,1.297,2.246,0.216,0,3.587,0.465,0,1.894,11.601,11.312,0.334,10,11
"AMBP","AMBP","Bivariate model, Reitsma 2005",0.645,0.52,0.753,0.643,0.522,0.748,3.36,3.27,2.09,5.12,1.82,1.8,1.42,2.36,0.557,0.555,0.417,0.708,0.685,"Univariate model, Glas 2003",3.544,2.222,5.651,1.265,0.798,1.732,0.279,0,1.659,0.528,0,1.288,4.034,10.42,0.404,10,11
"ORM1","ORM1","Bivariate model, Reitsma 2005",0.822,0.73,0.888,0.793,0.693,0.867,20.1,17.8,6.67,47.4,4.11,3.97,2.45,6.57,0.232,0.224,0.132,0.376,0.875,"Univariate model, Glas 2003",16.395,7.557,35.57,2.797,2.022,3.572,1.089,0,12.408,1.043,0,3.523,41.458,17.082,0.073,10,11
"AHSG","AHSG","Bivariate model, Reitsma 2005",0.748,0.603,0.854,0.806,0.704,0.88,13.6,12.4,5.3,28.9,3.96,3.83,2.43,6.25,0.321,0.314,0.182,0.5,0.848,"Univariate model, Glas 2003",16.132,7.198,36.156,2.781,1.974,3.588,1.188,0,6.226,1.09,0,2.495,22.806,12.954,0.226,10,11
"TTR","TTR","Bivariate model, Reitsma 2005",0.714,0.636,0.781,0.728,0.607,0.823,7.04,6.69,3.55,12.6,2.7,2.62,1.8,4.04,0.399,0.395,0.296,0.525,0.774,"Univariate model, Glas 2003",7.818,3.943,15.5,2.056,1.372,2.741,0.747,0,9.864,0.864,0,3.141,38.637,16.296,0.091,10,11
"GC","GC","Bivariate model, Reitsma 2005",0.732,0.563,0.853,0.633,0.463,0.775,4.88,4.71,2.79,7.93,2.02,1.97,1.49,2.81,0.432,0.427,0.278,0.611,0.733,"Univariate model, Glas 2003",4.942,2.876,8.49,1.598,1.056,2.139,0.415,0,1.826,0.644,0,1.351,0,9.53,0.483,10,11
"PPBP","PPBP","Bivariate model, Reitsma 2005",0.77,0.571,0.894,0.766,0.666,0.843,13.8,10.9,2.85,41.8,3.38,3.28,1.78,5.57,0.322,0.302,0.129,0.628,0.823,"Univariate model, Glas 2003",8.438,3.231,22.037,2.133,1.173,3.093,1.81,0,26.221,1.345,0,5.121,50.85,18.311,0.032,9,10
"PF4","PF4","Bivariate model, Reitsma 2005",0.809,0.614,0.919,0.792,0.587,0.911,23.4,16.1,2.95,87.8,4.32,3.85,1.66,9.76,0.269,0.244,0.095,0.584,0.868,"Univariate model, Glas 2003",11.506,3.671,36.063,2.443,1.3,3.585,1.956,0,39.055,1.399,0,6.249,53.957,15.203,0.033,7,8
"TF","TF","Bivariate model, Reitsma 2005",0.847,0.681,0.935,0.782,0.57,0.906,24.4,19.8,5.61,70.1,4.23,3.83,1.95,8.84,0.214,0.2,0.086,0.419,0.884,"Univariate model, Glas 2003",20.381,7.602,54.646,3.015,2.028,4.001,1.555,0,21.579,1.247,0,4.645,45.302,16.454,0.058,9,10
"HPX","HPX","Bivariate model, Reitsma 2005",0.722,0.586,0.826,0.638,0.463,0.783,4.73,4.57,2.71,7.67,2.04,1.98,1.45,2.95,0.445,0.442,0.316,0.591,0.736,"Univariate model, Glas 2003",5.045,2.986,8.526,1.618,1.094,2.143,0.375,0,1.062,0.612,0,1.03,0,8.349,0.595,10,11
"KLKB1","KLKB1","Bivariate model, Reitsma 2005",0.737,0.591,0.845,0.727,0.571,0.842,7.87,7.47,3.95,14.1,2.77,2.67,1.82,4.26,0.37,0.365,0.234,0.532,0.793,"Univariate model, Glas 2003",8.511,4.421,16.381,2.141,1.486,2.796,0.721,0,2.343,0.849,0,1.531,0,9.568,0.479,10,11
"C4BPA","C4BPA","Bivariate model, Reitsma 2005",0.776,0.693,0.842,0.749,0.59,0.861,11.2,10.3,4.67,22.9,3.24,3.08,1.89,5.52,0.307,0.302,0.21,0.432,0.824,"Univariate model, Glas 2003",11.851,5.361,26.201,2.472,1.679,3.266,1.177,0,5.127,1.085,0,2.264,10.83,11.215,0.341,10,11
"VTN","VTN","Bivariate model, Reitsma 2005",0.687,0.533,0.809,0.724,0.589,0.828,6.07,5.77,3.1,10.7,2.53,2.47,1.75,3.69,0.439,0.435,0.284,0.617,0.764,"Univariate model, Glas 2003",6.411,3.471,11.839,1.858,1.244,2.471,0.635,0,2.611,0.797,0,1.616,4.855,10.51,0.397,10,11
"PROC","PROC","Bivariate model, Reitsma 2005",0.603,0.428,0.755,0.676,0.458,0.837,3.26,3.16,1.96,5.13,1.91,1.85,1.32,2.89,0.596,0.596,0.459,0.736,0.675,"Univariate model, Glas 2003",3.455,2.19,5.45,1.24,0.784,1.696,0,0,3.063,0,0,1.75,0,7.504,0.483,8,9
"APOB","APOB","Bivariate model, Reitsma 2005",0.536,0.428,0.641,0.735,0.62,0.825,3.26,3.2,2.16,4.74,2.05,2.01,1.54,2.74,0.635,0.635,0.527,0.743,0.672,"Univariate model, Glas 2003",3.409,2.271,5.116,1.226,0.82,1.632,0.123,0,0.997,0.35,0,0.998,0,9.551,0.481,10,11
"LCAT","LCAT","Bivariate model, Reitsma 2005",0.752,0.653,0.83,0.566,0.48,0.648,4.06,3.95,2.48,6.28,1.74,1.73,1.45,2.09,0.444,0.44,0.311,0.6,0.681,"Univariate model, Glas 2003",4.477,2.587,7.747,1.499,0.95,2.047,0.385,0,6.882,0.62,0,2.623,14.654,10.545,0.308,9,10
